iter	Passed	Remaining
0	182	36310
1	241	23899
2	471	30939
3	725	35551
4	758	29593
5	799	25858
6	1022	28198
7	1161	27865
8	1281	27201
9	1513	28750
10	1745	29991
11	1991	31192
12	2233	32131
13	2474	32875
14	2712	33448
15	2866	32959
16	3120	33595
17	3370	34078
18	3647	34748
19	3893	35045
20	4142	35310
21	4376	35407
22	4620	35555
23	4865	35683
24	5085	35601
25	5330	35671
26	5567	35675
27	5819	35750
28	6050	35675
29	6290	35647
30	6517	35528
31	6764	35511
32	7016	35510
33	7255	35424
34	7490	35310
35	7734	35236
36	7982	35167
37	8218	35037
38	8394	34656
39	8627	34508
40	8751	33937
41	8952	33678
42	9135	33355
43	9367	33213
44	9605	33086
45	9688	32436
46	9927	32316
47	10127	32070
48	10370	31959
49	10609	31827
50	10864	31741
51	11108	31617
52	11183	31017
53	11412	30856
54	11657	30733
55	11907	30619
56	12112	30387
57	12340	30212
58	12548	29989
59	12765	29785
60	12989	29598
61	13231	29450
62	13455	29260
63	13548	28789
64	13769	28598
65	14035	28495
66	14285	28356
67	14550	28244
68	14816	28129
69	15103	28049
70	15316	27828
71	15566	27674
72	15828	27536
73	16048	27325
74	16307	27179
75	16414	26782
76	16648	26594
77	16919	26463
78	17166	26293
79	17415	26123
80	17658	25942
81	17918	25785
82	18159	25598
83	18406	25417
84	18475	24995
85	18722	24817
86	18990	24665
87	19234	24480
88	19411	24210
89	19636	23999
90	19886	23819
91	20146	23650
92	20394	23464
93	20658	23296
94	20934	23138
95	21209	22976
96	21432	22758
97	21690	22576
98	21949	22393
99	22074	22074
100	22272	21831
101	22488	21606
102	22689	21367
103	22930	21166
104	23188	20980
105	23438	20784
106	23695	20594
107	23950	20401
108	24166	20175
109	24444	19999
110	24716	19818
111	24988	19633
112	25234	19428
113	25504	19240
114	25753	19035
115	25994	18823
116	26258	18627
117	26498	18413
118	26737	18199
119	26970	17980
120	27200	17758
121	27570	17627
122	27863	17443
123	28102	17223
124	28383	17030
125	28644	16822
126	28939	16634
127	29191	16420
128	29431	16198
129	29686	15985
130	29959	15779
131	30242	15579
132	30517	15373
133	30801	15171
134	31031	14940
135	31291	14725
136	31546	14506
137	31774	14275
138	32020	14052
139	32276	13832
140	32514	13605
141	32617	13322
142	32844	13091
143	33097	12871
144	33164	12579
145	33424	12362
146	33712	12154
147	33973	11936
148	34235	11718
149	34518	11506
150	34787	11288
151	35069	11074
152	35320	10850
153	35586	10629
154	35870	10413
155	36016	10158
156	36249	9928
157	36519	9707
158	36743	9474
159	36969	9242
160	37219	9015
161	37476	8790
162	37720	8562
163	37969	8334
164	38211	8105
165	38456	7876
166	38688	7645
167	38934	7416
168	39163	7183
169	39402	6953
170	39664	6726
171	39915	6497
172	40156	6267
173	40405	6037
174	40663	5809
175	40956	5584
176	41204	5354
177	41448	5122
178	41736	4896
179	42028	4669
180	42269	4437
181	42509	4204
182	42586	3956
183	42812	3722
184	43084	3493
185	43352	3263
186	43600	3031
187	43874	2800
188	44140	2569
189	44428	2338
190	44763	2109
191	45066	1877
192	45344	1644
193	45609	1410
194	45896	1176
195	46154	941
196	46401	706
197	46634	471
198	46889	235
199	47164	0
